id_turneja,id_album,ime_albuma
1,41GuZcammIkupMPKH2OJ6I, ASTROWORLD
2,6i6folBtxKV28WX3msQ4FE, Bohemian Rhapsody (The Original Soundtrack)
3,1ATL5GLyefJaxhQzSPVrLX, Scorpion
4,6trNtQUgC8cgbWcqoMYkOR, beerbongs & bentleys
5,1qsQOC4Jn0fnaUZLAbs4dz, SKINS
6,4iF44RCCybJtkBkMoqrLW2, Street Gossip
7,6tkjU4Umpo79wwkgPMV3nZ, Goodbye & Good Riddance
8,3tx8gQqWbGwqIGZHqDNrGe, Sweetener
9,4KdtEKjY3Gi0mKiSdy96ML, Invasion of Privacy
10,3JfSxDfmwS5OeHPwLSkrfr, Origins (Deluxe)
11,50yFYgKdwJANZ5O9MIbMkg, Tha Carter V
12,2Ti79nwTsont5ZHfdxIzAm, ?
13,3T4tUhGYeRNVUGevb0wThu, ÷ (Deluxe)
14,7fRrTyKvE4Skh93v97gtcU, dont smile at me
15,3HNnxK7NgLXbDoxRZxNWiR, Kamikaze
16,1WMVvswNzB9i2UMh9svso5, The Beatles
17,5s0rmjP8XOPhP6HhqOhuyC, Stoney (Deluxe)
18,6kf46HbnYCZzP6rjvQHYzg, American Teen
19,33pt9HBdGlAbRGBHQgsZsU, Evolve
20,2acDkDTWdNFie1HjcFa4Ny, Queen
21,5VdyJkLe3yvOs0l4xXbWp0, 17
22,2lATw9ZAVp7ILQcOKPCPqp, Love Yourself 結 'Answer'
23,2VP96XdMOKTXefI8Nui23s, Shawn Mendes
24,4UNwL1B7JoymNUiTFJa52B, Suncity
25,4eLPsYPBmXABThSJ821sqY, DAMN.
26,6DEjYFkNZh67HP7R9PSZvv, reputation
27,7yf9ZJyHRbp8sHtpDKfPpt, Harder Than Ever
28,0ETFjACtuP2ADo6LFhL6HN, Abbey Road (Remastered)
29,6ZvDJs17O3woQirttKRYCG, Sick Boy
30,6X1x82kppWZmDzlXXK3y3q, Take Care (Deluxe)
31,1zUY4PAFrNUOCeaEBrEHzh, Curtain Call: The Hits
32,63MKT9hwmiMFFdFp5SdB1p, Under The Mistletoe (Deluxe Edition)
33,2vD3zSQr8hNlg0obNel4TE, Camila
34,1KOmHyNLuOe5YrPhD3Juuf, Perception
35,4PgleR09JVnm3zY1fW3XBA, 24K Magic
36,1uG9cIT7IRuq9NqFvKFUsI, Greatest Hits II (Remastered)
37,40GMAhriYJRO1rsY4YdrZb, Views
38,6nxDQi0FeEwccEPJeNySoS, Night Visions
39,4Wv5UAieM1LDEYVq5WmqDd, KOD
40,7GjG91tyHQNGEHzKJaqOi0, hopeless fountain kingdom (Deluxe)
41,1xn54DMo2qIqBuMqHtUsFd, x (Deluxe Edition)
42,2ODvWsOgouMbaA5xf0RkJe, Starboy
